Table 1
No,Date,Num of comments on 30 posts,Score on 30 posts,Positive Sentiment,Negative Sentiment,P/N,Sentiment Score,Open,High,Low,Close,Volume,Market Cap,Bitcoin dominance
0,2017-08-01,4454,12031,191,66,2.893939393939394,125,"2,871.30","2,921.35","2,685.61","2,718.26","1,324,669,952","47,321,755,648",51.35
1,2017-08-02,3283,10361,37,31,1.1935483870967742,6,"2,727.13","2,762.53","2,668.59","2,710.67","1,094,950,016","44,950,835,200",45.01
2,2017-08-03,3580,7789,57,22,2.590909090909091,35,"2,709.56","2,813.31","2,685.14","2,804.73","804,796,992","44,666,400,768",44.51
3,2017-08-04,2688,11201,44,66,0.6666666666666666,-22,"2,806.93","2,899.33","2,743.72","2,895.89","1,002,120,000","46,276,210,688",45.41
4,2017-08-05,3657,21412,53,33,1.606060606060606,20,"2,897.63","3,290.01","2,874.83","3,252.91","1,945,699,968","47,778,197,504",47.04
5,2017-08-06,2365,6794,65,32,2.03125,33,"3,257.61","3,293.29","3,155.60","3,213.94","1,105,030,016","53,720,891,392",47.71
6,2017-08-07,3128,8552,62,20,3.1,42,"3,212.78","3,397.68","3,180.89","3,378.94","1,482,279,936","52,987,310,080",47.23
7,2017-08-08,2856,9934,31,16,1.9375,15,"3,370.22","3,484.85","3,345.83","3,419.94","1,752,760,064","55,590,281,216",46.87
8,2017-08-09,2166,8292,108,57,1.894736842105263,51,"3,420.40","3,422.76","3,247.67","3,342.47","1,468,960,000","56,424,906,752",45.58
9,2017-08-10,2855,12283,117,80,1.4625,37,"3,341.84","3,453.45","3,319.47","3,381.28","1,515,110,016","55,134,724,096",45.44
10,2017-08-11,2954,11047,27,12,2.25,15,"3,373.82","3,679.72","3,372.12","3,650.62","2,021,190,016","55,667,986,432",45.45
11,2017-08-12,2788,12174,56,12,4.666666666666667,44,"3,650.63","3,949.92","3,613.70","3,884.71","2,219,589,888","60,242,059,264",46.15
12,2017-08-13,5011,33996,120,68,1.7647058823529411,52,"3,880.04","4,208.39","3,857.80","4,073.26","3,159,089,920","64,034,107,392",47.69
13,2017-08-14,2866,9270,78,43,1.813953488372093,35,"4,066.10","4,325.13","3,989.16","4,325.13","2,463,089,920","67,112,329,216",49.41
14,2017-08-15,3583,19100,112,66,1.696969696969697,46,"4,326.99","4,455.97","3,906.18","4,181.93","3,258,050,048","71,425,482,752",50.72
15,2017-08-16,2887,10468,59,30,1.9666666666666666,29,"4,200.34","4,381.23","3,994.42","4,376.63","2,272,039,936","69,342,707,712",50.62
16,2017-08-17,4741,18172,20,25,0.8,-5,"4,384.44","4,484.70","4,243.71","4,331.69","2,553,359,872","72,389,124,096",50.68
17,2017-08-18,4396,8458,172,115,1.4956521739130435,57,"4,324.34","4,370.13","4,015.40","4,160.62","2,941,710,080","71,406,542,848",49.74
18,2017-08-19,2033,5840,103,69,1.4927536231884058,34,"4,137.75","4,243.26","3,970.55","4,193.70","2,975,820,032","68,333,101,056",47.91
19,2017-08-20,3249,5548,54,40,1.35,14,"4,189.31","4,196.29","4,069.88","4,087.66","2,109,769,984","69,192,663,040",47.36
20,2017-08-21,3423,8699,120,72,1.6666666666666667,48,"4,090.48","4,109.14","3,988.60","4,001.74","2,800,890,112","67,567,071,232",46.65
21,2017-08-22,4502,11197,34,21,1.619047619047619,13,"3,998.35","4,128.76","3,674.58","4,100.52","3,764,239,872","66,051,018,752",45.91
22,2017-08-23,3197,6886,60,22,2.727272727272727,38,"4,089.01","4,255.78","4,078.41","4,151.52","2,369,819,904","67,553,030,144",45.61
23,2017-08-24,3573,12935,83,45,1.8444444444444446,38,"4,137.60","4,376.39","4,130.26","4,334.68","2,037,750,016","68,363,894,784",45.44
24,2017-08-25,4828,8967,75,63,1.1904761904761905,12,"4,332.82","4,455.70","4,307.35","4,371.60","1,727,970,048","71,595,073,536",46.69
25,2017-08-26,3546,7476,76,29,2.6206896551724137,47,"4,372.06","4,379.28","4,269.52","4,352.40","1,511,609,984","72,249,057,280",46.54
26,2017-08-27,2730,7133,55,32,1.71875,23,"4,345.10","4,416.59","4,317.29","4,382.88","1,537,459,968","71,809,245,184",45.81
27,2017-08-28,2027,5991,38,17,2.235294117647059,21,"4,384.45","4,403.93","4,224.64","4,382.66","1,959,330,048","72,467,865,600",45.57
28,2017-08-29,4154,24095,21,15,1.4,6,"4,389.21","4,625.68","4,352.13","4,579.02","2,486,080,000","72,553,783,296",45.08
29,2017-08-30,2666,8651,52,14,3.7142857142857144,38,"4,570.36","4,626.52","4,471.41","4,565.30","1,937,849,984","75,556,601,856",45.81
30,2017-08-31,2938,12243,61,25,2.44,36,"4,555.59","4,736.05","4,549.40","4,703.39","1,944,930,048","75,322,261,504",45.13
31,2017-09-01,3633,17831,211,100,2.11,111,"4,701.76","4,892.01","4,678.53","4,892.01","2,599,079,936","77,748,371,456",44.98
32,2017-09-02,1922,9105,95,35,2.7142857142857144,60,"4,901.42","4,975.04","4,469.24","4,578.77","2,722,139,904","81,060,601,856",45.30
33,2017-09-03,1911,7909,65,39,1.6666666666666667,26,"4,585.27","4,714.08","4,417.59","4,582.96","1,933,190,016","75,841,708,032",46
34,2017-09-04,2857,16754,139,60,2.316666666666667,79,"4,591.63","4,591.63","4,108.40","4,236.31","2,987,330,048","75,955,544,064",45.99
35,2017-09-05,2788,7626,60,31,1.935483870967742,29,"4,228.29","4,427.84","3,998.11","4,376.53","2,697,969,920","69,954,437,120",48.01
36,2017-09-06,2291,11762,113,43,2.627906976744186,70,"4,376.59","4,617.25","4,376.59","4,597.12","2,172,100,096","72,418,721,792",47.38
37,2017-09-07,3585,13502,153,137,1.1167883211678833,16,"4,589.14","4,655.04","4,491.33","4,599.88","1,844,620,032","75,944,968,192",46.63
38,2017-09-08,2300,9475,89,24,3.7083333333333335,65,"4,605.16","4,661.00","4,075.18","4,228.75","2,700,890,112","76,220,227,584",46.57
39,2017-09-09,2392,7867,45,12,3.75,33,"4,229.81","4,308.82","4,114.11","4,226.06","1,386,230,016","70,017,155,072",47.13
40,2017-09-10,1966,9403,77,53,1.4528301886792452,24,"4,229.34","4,245.44","3,951.04","4,122.94","1,679,090,048","70,018,088,960",47.47
41,2017-09-11,2372,10798,56,19,2.9473684210526314,37,"4,122.47","4,261.67","4,099.40","4,161.27","1,557,330,048","68,256,038,912",47.42
42,2017-09-12,2507,13879,56,46,1.2173913043478262,10,"4,168.88","4,344.65","4,085.22","4,130.81","1,864,530,048","69,033,369,600",47.26
43,2017-09-13,2906,19077,105,36,2.9166666666666665,69,"4,131.98","4,131.98","3,789.92","3,882.59","2,219,409,920","68,432,248,832",47.49
44,2017-09-14,3996,7945,113,49,2.306122448979592,64,"3,875.37","3,920.60","3,153.86","3,154.95","2,716,310,016","64,191,565,824",47.13
45,2017-09-15,3534,15673,22,15,1.4666666666666666,7,"3,166.30","3,733.45","2,946.62","3,637.52","4,148,069,888","52,453,515,264",48.63
46,2017-09-16,3270,10448,47,12,3.9166666666666665,35,"3,637.75","3,808.84","3,487.79","3,625.04","1,818,400,000","60,271,636,480",48.42
47,2017-09-17,2563,7824,95,52,1.8269230769230769,43,"3,606.28","3,664.81","3,445.64","3,582.88","1,239,149,952","59,757,817,856",48.38
48,2017-09-18,2893,14753,47,15,3.1333333333333333,32,"3,591.09","4,079.23","3,591.09","4,065.20","1,943,209,984","59,514,085,376",48.11
